Tool,size,GPU,PKG,seconds
pinpoint, 1024, 215.6165, 201.579, 17.5252
pinpoint, 1024, 228.4685, 217.45, 17.6884
pinpoint, 1024, 234.7735, 228.144, 17.7971
pinpoint, 1024, 213.5215, 199.657, 17.5302
pinpoint, 1024, 212.0555, 202.772, 17.5517
pinpoint, 1024, 249.5285, 247.076, 17.7719
pinpoint, 1024, 247.8415, 250.986, 17.7681
pinpoint, 1024, 215.8545, 203.872, 17.5589
pinpoint, 1024, 225.4205, 222.009, 17.7665
pinpoint, 1024, 316.4525, 332.637, 18.1434
pinpoint, 1024, 254.1585, 257.623, 17.8619
pinpoint, 1024, 243.6925, 243.884, 17.8616
pinpoint, 1024, 320.1575, 336.85, 18.0704
pinpoint, 1024, 254.6305, 252.398, 17.8396
pinpoint, 1024, 219.2265, 213.881, 17.6708
pinpoint, 1024, 217.4505, 210.127, 17.7216
