Tool,VM,size,cores,RAM,seconds
pinpoint, node, 1024, 134.49, 15.37, 14.62218684
pinpoint, node, 1024, 148.69, 16.33, 14.72533650
pinpoint, node, 1024, 154.73, 14.57, 14.58486170
pinpoint, node, 1024, 131.93, 12.84, 14.45945578
pinpoint, node, 1024, 134.47, 10.58, 14.11850113
pinpoint, node, 1024, 129.07, 9.86, 14.00588186
pinpoint, node, 1024, 120.23, 12.1, 15.01251155
pinpoint, node, 1024, 117.22, 14.45, 15.54116354
pinpoint, node, 1024, 117.02, 13.14, 15.25837152
pinpoint, node, 1024, 117.1, 14.01, 15.66293815
pinpoint, node, 1024, 117.82, 12.1, 15.16186370
pinpoint, node, 1024, 115.14, 11.72, 15.04514628
pinpoint, node, 1024, 120.48, 11.94, 15.06036104
pinpoint, node, 1024, 115.01, 10.6, 14.70914087
pinpoint, node, 1024, 115.21, 11.05, 14.81795764
pinpoint, node, 2048, 273.04, 28.6, 31.60832545
pinpoint, node, 2048, 255.33, 47.02, 39.77224218
pinpoint, node, 2048, 220.95, 13.79, 31.03639741
pinpoint, node, 2048, 235.87, 21.14, 33.46918916
pinpoint, node, 2048, 235.23, 12.89, 32.15703157
pinpoint, node, 2048, 220.67, 15.08, 30.93511868
pinpoint, node, 2048, 237.97, 28.68, 34.63506488
pinpoint, node, 2048, 246.76, 23.96, 34.76422793
pinpoint, node, 2048, 244.97, 22.1, 33.71729964
pinpoint, node, 2048, 227.56, 13.25, 31.53065222
pinpoint, node, 2048, 220.6, 21.91, 32.28173170
pinpoint, node, 2048, 238.71, 27.85, 34.78722536
pinpoint, node, 2048, 217.05, 17.21, 31.18848307
pinpoint, node, 2048, 219.35, 26.58, 33.12718196
pinpoint, node, 2048, 228.15, 23.49, 33.64582255
pinpoint, node, 4096, 283.76, 12.99, 26.70137521
pinpoint, node, 4096, 215.46, 16.41, 29.72562890
pinpoint, node, 4096, 280.08, 51.21, 40.74850440
pinpoint, node, 4096, 280.62, 41.79, 38.82362460
pinpoint, node, 4096, 183.3, 8.03, 25.53753039
pinpoint, node, 4096, 228.98, 28.79, 33.12669263
pinpoint, node, 4096, 241.41, 21.65, 33.02439170
pinpoint, node, 4096, 228.18, 17.02, 30.59448503
pinpoint, node, 4096, 179.81, 11.65, 26.12817068
pinpoint, node, 4096, 183.74, 14.49, 26.35303835
pinpoint, node, 4096, 238.92, 17.54, 32.24772702
pinpoint, node, 4096, 227.43, 25, 32.25340782
pinpoint, node, 4096, 215.26, 11.97, 29.30298541
pinpoint, node, 4096, 221.56, 18.38, 30.67199710
pinpoint, node, 4096, 194.64, 17.71, 27.54257387
pinpoint, bun, 1024, 89.08, 4.2, 5.39620973
pinpoint, bun, 1024, 96.04, 5.31, 5.51345582
pinpoint, bun, 1024, 49.32, 5.23, 6.77289615
pinpoint, bun, 1024, 50.72, 3.9, 6.50294682
pinpoint, bun, 1024, 51.93, 4.8, 6.74705688
pinpoint, bun, 1024, 52.99, 9.3, 7.58737186
pinpoint, bun, 1024, 56.1, 9.29, 7.58689697
pinpoint, bun, 1024, 54.55, 7.91, 7.27829141
pinpoint, bun, 1024, 50.56, 5.77, 6.80500278
