Tool,VM,size,GPU,PKG,seconds
pinpoint, node, 1024, 154.46, 38.34, 16.61243147
pinpoint, node, 1024, 163.56, 38.17, 16.49773602
pinpoint, node, 1024, 140.44, 23.19, 14.32991960
pinpoint, node, 1024, 125.6, 14.69, 14.03210666
pinpoint, node, 1024, 127.84, 13.88, 13.91626846
pinpoint, node, 1024, 131.46, 14.93, 14.59897542
pinpoint, node, 1024, 124.98, 13.99, 13.97894419
pinpoint, node, 1024, 136.78, 13.73, 14.38226244
pinpoint, node, 1024, 128.41, 14.04, 13.98288375
pinpoint, node, 1024, 135.81, 13.88, 14.31652069
pinpoint, node, 1024, 125.15, 13.81, 14.36321792
pinpoint, node, 1024, 135.31, 13.86, 14.11422815
pinpoint, node, 1024, 123.71, 14.05, 14.44918369
pinpoint, node, 1024, 122.61, 13.85, 14.49678231
pinpoint, node, 1024, 124.57, 13.96, 14.17543175
pinpoint, node, 2048, 335.03, 12.35, 26.65928313
pinpoint, node, 2048, 247.78, 13.23, 29.29353949
pinpoint, node, 2048, 246.97, 13.54, 28.42455790
pinpoint, node, 2048, 240.59, 11.91, 27.87687100
pinpoint, node, 2048, 240.16, 12.65, 27.91263134
pinpoint, node, 2048, 239.59, 11.93, 27.54785928
pinpoint, node, 2048, 236.6, 12.36, 27.85522053
pinpoint, node, 2048, 255.19, 13.34, 29.67797162
pinpoint, node, 2048, 235.06, 12.07, 27.74351830
pinpoint, node, 2048, 238.73, 12.12, 27.90137327
pinpoint, node, 2048, 244.91, 12.21, 28.24318404
pinpoint, node, 2048, 255.69, 12.92, 29.40016255
pinpoint, node, 2048, 252.44, 13.02, 29.47664067
pinpoint, node, 2048, 240.53, 11.95, 27.91469995
pinpoint, node, 2048, 243.12, 11.7, 28.01968409
pinpoint, node, 4096, 322.82, 16.76, 19.77885405
pinpoint, node, 4096, 303.91, 18.64, 23.33123066
pinpoint, node, 4096, 243.23, 20.32, 27.99977405
pinpoint, node, 4096, 236.99, 19.28, 27.12727837
pinpoint, node, 4096, 196.74, 16.67, 23.18141230
pinpoint, node, 4096, 196.83, 16.8, 23.25759984
pinpoint, node, 4096, 201.59, 17.1, 23.52798724
pinpoint, node, 4096, 199.94, 16.51, 23.13815891
pinpoint, node, 4096, 199.05, 16.78, 23.26287557
pinpoint, node, 4096, 243.66, 20.38, 27.95711042
pinpoint, node, 4096, 234.77, 19.91, 27.27857879
pinpoint, node, 4096, 247.63, 20.88, 28.31264224
pinpoint, node, 4096, 199.32, 16.52, 23.17062948
pinpoint, node, 4096, 244.26, 20.32, 27.86519298
pinpoint, node, 4096, 195.06, 16.91, 22.92125879
pinpoint, bun, 1024, 105.29, 5.51, 5.08616326
pinpoint, bun, 1024, 95.79, 5.33, 5.38504730
pinpoint, bun, 1024, 53.53, 4.87, 6.28992124
pinpoint, bun, 1024, 57.36, 5.62, 6.68029983
pinpoint, bun, 1024, 60.06, 6.24, 6.94637277
pinpoint, bun, 1024, 56.32, 5.67, 6.57779926
pinpoint, bun, 1024, 57.76, 5.67, 6.59485795
pinpoint, bun, 1024, 52.72, 4.94, 6.32521036
pinpoint, bun, 1024, 55.83, 4.99, 6.54140826
pinpoint, bun, 1024, 56.67, 5.69, 6.57441591
pinpoint, bun, 1024, 57.42, 4.93, 6.34400335
pinpoint, bun, 1024, 53.86, 4.92, 6.25964803
pinpoint, bun, 1024, 57.93, 5.67, 6.53764452
pinpoint, bun, 1024, 58.44, 5.76, 6.68598481
pinpoint, bun, 1024, 54.56, 4.83, 6.22854310
pinpoint, bun, 2048, 123.83, -8.67, 9.34033572
pinpoint, bun, 2048, 91.07, -6.83, 10.92797422
pinpoint, bun, 2048, 91.03, -5.67, 11.24784769
pinpoint, bun, 2048, 92.11, -7.86, 10.90217765
pinpoint, bun, 2048, 91.71, -7.87, 11.21043900
pinpoint, bun, 2048, 86.68, -8.11, 10.81196367
pinpoint, bun, 2048, 95.32, -7.8, 11.26491727
pinpoint, bun, 2048, 92.27, -8.04, 10.92075584
pinpoint, bun, 2048, 86.06, -8.11, 10.77874847
pinpoint, bun, 2048, 93.59, -7.92, 11.15786312
pinpoint, bun, 2048, 93.34, -8.01, 11.05010604
pinpoint, bun, 2048, 94.27, -7.91, 11.12142045
pinpoint, bun, 2048, 97.39, -7.82, 11.66819280
pinpoint, bun, 2048, 95.43, -6.81, 11.55046416
pinpoint, bun, 2048, 107.42, 1.52, 13.29126244
pinpoint, bun, 4096, 227.11, -2.63, 21.25068485
pinpoint, bun, 4096, 184.31, -0.419999999999995, 23.48396986
pinpoint, bun, 4096, 185.99, -0.439999999999998, 23.71221646
pinpoint, bun, 4096, 179.81, -0.649999999999999, 23.22574043
pinpoint, bun, 4096, 182.42, 0, 23.65856436
pinpoint, bun, 4096, 186.8, -0.829999999999998, 23.56152875
pinpoint, bun, 4096, 183.04, -0.239999999999995, 23.62816355
pinpoint, bun, 4096, 180.83, -0.82, 23.08376355
pinpoint, bun, 4096, 182.41, -0.829999999999998, 23.17875678
pinpoint, bun, 4096, 175.91, -0.710000000000001, 23.03537312
pinpoint, bun, 4096, 183.8, -0.82, 23.39787975
pinpoint, bun, 4096, 179.41, -1.28, 23.16590341
pinpoint, bun, 4096, 186.26, 0, 23.55155099
pinpoint, bun, 4096, 184.92, -0.739999999999995, 23.44234442
pinpoint, bun, 4096, 176.75, 5.17, 23.86313261
pinpoint, deno, 1024, 181.22, -31.26, 16.11532374
pinpoint, deno, 1024, 143.19, -29.23, 18.11521403
pinpoint, deno, 1024, 133.82, -28.34, 18.67733005
pinpoint, deno, 1024, 133.14, -27.25, 18.76006026
pinpoint, deno, 1024, 139.35, -27.17, 19.52031035
pinpoint, deno, 1024, 132.93, -28.81, 18.52485154
pinpoint, deno, 1024, 133.17, -29.32, 18.31484611
pinpoint, deno, 1024, 135.64, -28.29, 18.75442756
pinpoint, deno, 1024, 133.7, -28.53, 18.65076518
pinpoint, deno, 1024, 131.43, -28.66, 18.55074231
pinpoint, deno, 1024, 130.84, -28.47, 18.70022799
pinpoint, deno, 1024, 136.85, -28.71, 18.59067669
pinpoint, deno, 1024, 135.23, -28.64, 18.58325330
pinpoint, deno, 1024, 130.64, -27.13, 18.81924361
pinpoint, deno, 1024, 149.06, -12.97, 21.06378487
pinpoint, deno, 2048, 189.36, -0.59, 18.62422272
pinpoint, deno, 2048, 132.02, -0.919999999999998, 18.07554204
pinpoint, deno, 2048, 147.72, -1.25, 19.60909078
pinpoint, deno, 2048, 153.4, 0.0899999999999999, 20.26910640
pinpoint, deno, 2048, 135.88, -0.199999999999999, 19.04845995
pinpoint, deno, 2048, 124.58, -3.42, 16.71946866
pinpoint, deno, 2048, 138.79, 0.77, 19.05437244
pinpoint, deno, 2048, 153.42, 0.240000000000002, 20.96964631
pinpoint, deno, 2048, 150.5, -1.43, 20.06813752
pinpoint, deno, 2048, 138.55, -2.42, 18.28481168
pinpoint, deno, 2048, 227.51, 16.29, 29.16193314
pinpoint, deno, 2048, 145.05, 0.390000000000001, 19.55158062
pinpoint, deno, 2048, 141.08, -0.0799999999999983, 18.91766310
pinpoint, deno, 2048, 155.97, 0.400000000000002, 20.85125943
pinpoint, deno, 2048, 139.34, -1.98, 18.38310506
pinpoint, deno, 4096, 186.05, -3.36, 14.71682539
pinpoint, deno, 4096, 132.58, -2.39, 17.40633385
pinpoint, deno, 4096, 136.78, -0.960000000000001, 18.35965425
pinpoint, deno, 4096, 134.51, -1.24, 17.74458367
pinpoint, deno, 4096, 133.3, -1.17, 17.79082719
pinpoint, deno, 4096, 136.11, -0.369999999999997, 17.85111311
pinpoint, deno, 4096, 123.84, -2.87, 16.72061808
pinpoint, deno, 4096, 133.26, -1.2, 17.64674375
pinpoint, deno, 4096, 134.78, -0.93, 17.78533477
