Tool,VM,size,GPU,PKG,seconds
pinpoint, node, 1024, 120.85, 16.17, 13.70014485
pinpoint, node, 1024, 120.46, 15.47, 13.90147133
pinpoint, node, 1024, 120.16, 13.52, 13.87043556
pinpoint, node, 1024, 117.28, 13.64, 13.97138239
pinpoint, node, 1024, 123.87, 13.96, 13.94453470
pinpoint, node, 1024, 124.51, 13.8, 13.85282034
pinpoint, node, 1024, 131.51, 13.9, 13.80917662
pinpoint, node, 1024, 126.86, 13.72, 14.05686809
pinpoint, node, 1024, 130.67, 15.9, 13.93644970
pinpoint, node, 1024, 126.42, 14.1, 13.98658965
pinpoint, node, 1024, 124.98, 13.78, 13.95843992
pinpoint, node, 1024, 116.67, 12.84, 13.97694532
pinpoint, node, 1024, 118.25, 12.53, 13.94547844
pinpoint, node, 1024, 119.54, 12.47, 13.99302117
pinpoint, node, 1024, 128.01, 12.17, 14.35297346
pinpoint, node, 2048, 282.37, 19.8, 26.16931546
pinpoint, node, 2048, 236.75, 21.46, 28.11823545
pinpoint, node, 2048, 235.86, 24.27, 28.03637418
pinpoint, node, 2048, 240.14, 20.49, 27.90458066
pinpoint, node, 2048, 237.03, 19.42, 27.74497364
pinpoint, node, 2048, 241.24, 19.73, 27.77185117
pinpoint, node, 2048, 238.04, 19.52, 27.58947718
pinpoint, node, 2048, 234.49, 19.89, 27.55141382
pinpoint, node, 2048, 233.44, 19.63, 27.58268892
pinpoint, node, 2048, 245.44, 24.73, 29.62540913
pinpoint, node, 2048, 235.21, 19.51, 27.72754162
pinpoint, node, 2048, 254.05, 20.75, 29.36337706
pinpoint, node, 2048, 236.75, 19.77, 27.65565440
pinpoint, node, 2048, 253.47, 20.66, 29.31800248
pinpoint, node, 2048, 251.86, 21.12, 29.33989225
pinpoint, node, 4096, 309.69, 6.22, 23.39971350
pinpoint, node, 4096, 229.25, 11.36, 27.08405489
pinpoint, node, 4096, 229.26, 7.93, 26.79824285
pinpoint, node, 4096, 240.91, 7.74, 27.58550228
pinpoint, node, 4096, 240.98, 8.18, 27.91766601
pinpoint, node, 4096, 236.64, 7.1, 27.31496641
pinpoint, node, 4096, 244.88, 8.05, 28.00329454
pinpoint, node, 4096, 234.56, 6.78, 26.79073247
pinpoint, node, 4096, 197.58, 4.34, 23.23059750
pinpoint, node, 4096, 200.07, 4.28, 23.05976663
pinpoint, node, 4096, 231.25, 7.11, 26.70726262
pinpoint, node, 4096, 232.2, 7.04, 26.98116600
pinpoint, node, 4096, 202.35, 4.63, 23.60873685
pinpoint, node, 4096, 239.65, 7.64, 27.41844808
pinpoint, node, 4096, 203.2, 4.5, 23.36028481
pinpoint, bun, 1024, 85.7, 4.69, 4.91280562
pinpoint, bun, 1024, 91.13, 5.34, 5.00897569
pinpoint, bun, 1024, 66.93, 4.6, 5.61165998
