Tool,VM,size,RAM,ECPU,PCPU,seconds
pinpoint, node, 1024, 2.56, 0.87, 34.28, 7.74521783
pinpoint, node, 1024, 3.22, 1.4, 40.73, 8.08336450
pinpoint, node, 1024, 3.12, 4.31, 37.53, 7.73957529
pinpoint, node, 1024, 2.34, 2.51, 28.61, 7.19965988
pinpoint, node, 1024, 2.1, 2.3, 26.95, 7.08362858
pinpoint, node, 1024, 2.1, 2.42, 27.27, 7.11602500
pinpoint, node, 1024, 2.33, 0.86, 28.42, 7.40251188
pinpoint, node, 1024, 2.1, 0.13, 28.34, 7.29577150
pinpoint, node, 1024, 2.01, 0.06, 26.82, 7.23640458
pinpoint, node, 1024, 2.05, 0.08, 27.65, 7.28929388
pinpoint, node, 1024, 2.02, 0.08, 27.09, 7.25035612
pinpoint, node, 1024, 2.06, 0.13, 28.27, 7.30589358
pinpoint, node, 1024, 2.01, 0.03, 27.1, 7.28993208
pinpoint, node, 1024, 2.05, 0.08, 27.7, 7.28638346
pinpoint, node, 1024, 2.07, 0.14, 27.56, 7.25841750
pinpoint, node, 2048, 3.68, 0.0800000000000001, 55.23, 13.42968362
pinpoint, node, 2048, 3.59, 0.0800000000000001, 54.8, 13.34401279
pinpoint, node, 2048, 3.57, 0.01, 55.47, 13.31544375
pinpoint, node, 2048, 3.65, 0.14, 55.71, 13.38497658
pinpoint, node, 2048, 3.61, 0.05, 56.4, 13.37868108
pinpoint, node, 2048, 3.62, 0.15, 55.68, 13.40315175
pinpoint, node, 2048, 3.63, 0.18, 56.2, 13.39738083
pinpoint, node, 2048, 3.64, 0.47, 55.68, 13.44623871
pinpoint, node, 2048, 3.62, 0.13, 55.96, 13.32104629
pinpoint, node, 2048, 3.54, 0.05, 55.48, 13.28020762
pinpoint, node, 2048, 3.6, 0.11, 56.48, 13.37257758
pinpoint, node, 2048, 3.53, 0.0600000000000001, 54.61, 13.20655425
pinpoint, node, 2048, 3.61, 0.16, 55.88, 13.30691462
pinpoint, node, 2048, 3.64, 0.1, 56.19, 13.34835083
pinpoint, node, 2048, 3.63, 0.17, 56.1, 13.45574671
pinpoint, node, 4096, 9.93, 3.3, 237.68, 30.66415950
pinpoint, node, 4096, 8.96, 2.68, 224.13, 28.27693700
pinpoint, node, 4096, 8.98, 3.14, 225.25, 28.11440233
pinpoint, node, 4096, 9.63, 2.58, 234.93, 31.22364283
pinpoint, node, 4096, 9.37, 3.48, 248.17, 28.76675200
pinpoint, node, 4096, 9.5, 3.7, 246.68, 29.24231146
pinpoint, node, 4096, 9.03, 3.19, 229.16, 28.20832771
pinpoint, node, 4096, 9.67, 3.15, 248.44, 30.26130017
pinpoint, node, 4096, 9.67, 3.03, 241.36, 30.61370396
pinpoint, node, 4096, 9.44, 3.34, 248.46, 29.48947146
pinpoint, node, 4096, 11.39, 4.96, 251.53, 32.83953504
pinpoint, node, 4096, 8.77, 3.4, 232.8, 27.36983963
pinpoint, node, 4096, 9.02, 3.26, 229.58, 28.39918096
pinpoint, node, 4096, 9.58, 2.79, 242.08, 30.48417646
pinpoint, node, 4096, 9.51, 3.85, 248.72, 29.47038967
pinpoint, bun, 1024, 1.03, 0.3, 18.42, 3.33865546
pinpoint, bun, 1024, 1.01, 0.28, 18.39, 3.29513592
pinpoint, bun, 1024, 1.03, 0.3, 18.83, 3.29614325
pinpoint, bun, 1024, 1.06, 0.52, 18.59, 3.27531583
pinpoint, bun, 1024, 1.1, 0.51, 18.8, 3.32943933
pinpoint, bun, 1024, 1.02, 0.29, 18.3, 3.28830363
