Tool,VM,size,GPU,PKG,seconds
pinpoint, node, 1024, 18.67, 379.17, 10.66850500
pinpoint, node, 1024, 25, 397.18, 10.66259738
pinpoint, node, 1024, 2.97, 285.52, 10.63094797
pinpoint, node, 1024, 0, 284.65, 10.36392003
pinpoint, node, 1024, 0, 272.62, 10.42216985
pinpoint, node, 1024, 5.38999999999999, 287.01, 10.69397818
pinpoint, node, 1024, 0, 271.44, 10.45486662
pinpoint, node, 1024, 0.530000000000001, 260.66, 10.59742390
pinpoint, node, 1024, 0, 251.43, 10.41348542
pinpoint, node, 1024, 0.639999999999986, 255.94, 10.55884193
pinpoint, node, 1024, 0.859999999999985, 263.68, 10.56858073
pinpoint, node, 1024, 6.54999999999998, 374.89, 10.76397184
pinpoint, node, 1024, 1.13, 327.4, 10.56619529
pinpoint, node, 1024, 4.47999999999999, 363.66, 10.65058982
pinpoint, node, 1024, 2.62, 309.68, 10.67225624
pinpoint, node, 2048, 0, 229.34, 16.64031997
pinpoint, node, 2048, 0, 281.34, 16.58353521
pinpoint, node, 2048, 0, 225.28, 16.57102062
pinpoint, node, 2048, 0, 261.36, 16.49399217
pinpoint, node, 2048, 0, 319.71, 16.75522676
pinpoint, node, 2048, 0, 364.07, 16.61350652
pinpoint, node, 2048, 7.26999999999998, 332.21, 16.69379459
pinpoint, node, 2048, 31.33, 493.73, 16.90444797
pinpoint, node, 2048, 34.44, 454.23, 17.02534951
pinpoint, node, 2048, 0, 423.43, 17.06615342
pinpoint, node, 2048, 0, 438.07, 17.13521807
pinpoint, node, 2048, 0, 432.51, 17.03944117
pinpoint, node, 2048, 0, 372.64, 16.78780622
pinpoint, node, 2048, 0, 313.02, 16.77607225
pinpoint, node, 2048, 0, 454.01, 17.16981485
pinpoint, node, 4096, 80.98, 1755.32, 33.03470406
pinpoint, node, 4096, 112.26, 1753.81, 33.39640124
pinpoint, node, 4096, 48.58, 1731.18, 33.23517315
pinpoint, node, 4096, 111.12, 1812.45, 33.48307201
pinpoint, node, 4096, 76.8200000000001, 1748.63, 32.57473016
pinpoint, node, 4096, 78.3000000000001, 1870.02, 33.90334869
pinpoint, node, 4096, 0, 1657.32, 33.09057120
pinpoint, node, 4096, 1.29000000000008, 1792.61, 33.44673584
pinpoint, node, 4096, 0, 1602.78, 33.10960584
pinpoint, node, 4096, 0, 1558.85, 32.94875464
pinpoint, node, 4096, 0, 1611.22, 33.28105210
pinpoint, node, 4096, 0, 1691.29, 33.19513649
pinpoint, node, 4096, 0, 1569.56, 32.59450823
pinpoint, node, 4096, 0, 1670.19, 32.91586964
pinpoint, node, 4096, 0, 1501.21, 32.79793751
pinpoint, bun, 1024, 0, 149.31, 4.33737320
pinpoint, bun, 1024, 3.45999999999999, 157.7, 4.58158546
pinpoint, bun, 1024, 0, 151.58, 4.40442864
pinpoint, bun, 1024, 0, 154.51, 4.42404994
pinpoint, bun, 1024, 0, 149.28, 4.38179306
pinpoint, bun, 1024, 0.439999999999998, 155.46, 4.44804464
pinpoint, bun, 1024, 0.809999999999988, 160.63, 4.41239418
pinpoint, bun, 1024, 0, 152.21, 4.39335669
pinpoint, bun, 1024, 1.25, 160.15, 4.47694384
pinpoint, bun, 1024, 0.779999999999987, 156.18, 4.45329121
pinpoint, bun, 1024, 0.439999999999998, 154.38, 4.42238613
pinpoint, bun, 1024, 0.419999999999987, 157.16, 4.42577281
pinpoint, bun, 1024, 0.5, 168.44, 4.42663390
pinpoint, bun, 1024, 0.599999999999994, 176.63, 4.43383952
pinpoint, bun, 1024, 1.44999999999999, 184.13, 4.45692611
