Prefix,size,RAM,ECPU,PCPU,seconds
evostar-mac-gen, 512, 0.04, 0.00, 0.31, 0.11980367
evostar-mac-gen, 512, 0.04, 0.00, 0.30, 0.12132729
evostar-mac-gen, 512, 0.04, 0.01, 0.33, 0.12434558
evostar-mac-gen, 512, 0.04, 0.00, 0.31, 0.11891654
evostar-mac-gen, 512, 0.04, 0.00, 0.32, 0.12157363
evostar-mac-gen, 512, 0.04, 0.00, 0.32, 0.11985538
evostar-mac-gen, 512, 0.04, 0.00, 0.32, 0.11883633
evostar-mac-gen, 512, 0.04, 0.00, 0.32, 0.12033592
evostar-mac-gen, 512, 0.04, 0.00, 0.32, 0.11936829
evostar-mac-gen, 512, 0.04, 0.01, 0.32, 0.11936517
evostar-mac-gen, 512, 0.04, 0.00, 0.31, 0.11934617
evostar-mac-gen, 512, 0.04, 0.00, 0.32, 0.11920904
evostar-mac-gen, 512, 0.04, 0.00, 0.32, 0.11863871
evostar-mac-gen, 512, 0.04, 0.00, 0.32, 0.12006483
evostar-mac-gen, 512, 0.04, 0.00, 0.32, 0.11916079
evostar-mac-gen, 1024, 0.04, 0.00, 0.39, 0.14300971
evostar-mac-gen, 1024, 0.04, 0.00, 0.36, 0.14480837
evostar-mac-gen, 1024, 0.04, 0.00, 0.36, 0.14472271
evostar-mac-gen, 1024, 0.04, 0.01, 0.39, 0.14420104
evostar-mac-gen, 1024, 0.04, 0.00, 0.37, 0.14810038
evostar-mac-gen, 1024, 0.04, 0.00, 0.36, 0.14953633
evostar-mac-gen, 1024, 0.04, 0.00, 0.36, 0.14844262
evostar-mac-gen, 1024, 0.06, 0.01, 0.43, 0.15303658
evostar-mac-gen, 1024, 0.05, 0.01, 0.41, 0.15061092
evostar-mac-gen, 1024, 0.06, 0.01, 0.42, 0.15362146
evostar-mac-gen, 1024, 0.06, 0.03, 0.40, 0.15282017
evostar-mac-gen, 1024, 0.06, 0.01, 0.41, 0.15469179
evostar-mac-gen, 1024, 0.04, 0.00, 0.36, 0.14444742
evostar-mac-gen, 1024, 0.04, 0.00, 0.37, 0.15159529
evostar-mac-gen, 1024, 0.06, 0.01, 0.41, 0.15352846
evostar-mac-gen, 2048, 0.08, 0.01, 0.66, 0.20074196
evostar-mac-gen, 2048, 0.05, 0.00, 0.59, 0.19864917
evostar-mac-gen, 2048, 0.07, 0.01, 0.65, 0.20140412
evostar-mac-gen, 2048, 0.07, 0.02, 0.64, 0.20393258
evostar-mac-gen, 2048, 0.04, 0.00, 0.57, 0.19057096
evostar-mac-gen, 2048, 0.04, 0.00, 0.55, 0.19259417
evostar-mac-gen, 2048, 0.04, 0.01, 0.59, 0.19080583
evostar-mac-gen, 2048, 0.04, 0.00, 0.56, 0.18964479
evostar-mac-gen, 2048, 0.04, 0.00, 0.56, 0.19148058
evostar-mac-gen, 2048, 0.04, 0.00, 0.56, 0.19002033
evostar-mac-gen, 2048, 0.07, 0.01, 0.63, 0.20139975
evostar-mac-gen, 2048, 0.07, 0.01, 0.65, 0.20101312
evostar-mac-gen, 2048, 0.07, 0.01, 0.65, 0.20173746
evostar-mac-gen, 2048, 0.07, 0.01, 0.64, 0.20159025
evostar-mac-gen, 2048, 0.07, 0.02, 0.67, 0.19876092
