Platform,size,GPU,PKG,seconds
evostar-zig-gen-bool, 512, 4.16, 8.08, 0.18233933
evostar-zig-gen-bool, 512, 4.17, 7.76, 0.18564344
evostar-zig-gen-bool, 512, 4.10, 7.76, 0.18465156
evostar-zig-gen-bool, 512, 4.09, 7.94, 0.18819602
evostar-zig-gen-bool, 512, 4.14, 8.16, 0.18881897
evostar-zig-gen-bool, 512, 4.21, 8.89, 0.18645943
evostar-zig-gen-bool, 512, 4.21, 8.52, 0.18853927
evostar-zig-gen-bool, 512, 4.05, 8.30, 0.18350514
evostar-zig-gen-bool, 512, 4.13, 8.85, 0.18186448
evostar-zig-gen-bool, 512, 4.04, 8.82, 0.19531211
evostar-zig-gen-bool, 512, 4.06, 8.28, 0.18640538
evostar-zig-gen-bool, 512, 3.94, 8.14, 0.18493262
evostar-zig-gen-bool, 512, 4.07, 7.91, 0.18538955
evostar-zig-gen-bool, 512, 4.06, 8.17, 0.18556243
evostar-zig-gen-bool, 512, 4.09, 8.52, 0.18661986
evostar-zig-gen-bool, 1024, 6.10, 14.48, 0.28766424
evostar-zig-gen-bool, 1024, 6.02, 14.05, 0.28007159
evostar-zig-gen-bool, 1024, 6.09, 13.08, 0.28171392
evostar-zig-gen-bool, 1024, 6.07, 12.38, 0.28369022
evostar-zig-gen-bool, 1024, 6.20, 12.30, 0.28251529
evostar-zig-gen-bool, 1024, 6.19, 12.61, 0.28475721
evostar-zig-gen-bool, 1024, 6.23, 14.10, 0.28727199
evostar-zig-gen-bool, 1024, 6.20, 12.34, 0.28454509
evostar-zig-gen-bool, 1024, 6.13, 12.29, 0.28501992
evostar-zig-gen-bool, 1024, 6.13, 12.87, 0.28441096
evostar-zig-gen-bool, 1024, 6.16, 12.54, 0.28284640
evostar-zig-gen-bool, 1024, 6.23, 12.27, 0.27994606
evostar-zig-gen-bool, 1024, 6.25, 12.53, 0.27946939
evostar-zig-gen-bool, 1024, 6.09, 12.54, 0.27715671
evostar-zig-gen-bool, 1024, 6.19, 12.94, 0.28541844
evostar-zig-gen-bool, 2048, 10.23, 22.29, 0.47171031
evostar-zig-gen-bool, 2048, 10.26, 21.58, 0.48144131
evostar-zig-gen-bool, 2048, 10.29, 23.23, 0.48188864
evostar-zig-gen-bool, 2048, 10.29, 23.28, 0.48134354
evostar-zig-gen-bool, 2048, 10.24, 23.18, 0.48372829
evostar-zig-gen-bool, 2048, 10.16, 23.61, 0.47854128
evostar-zig-gen-bool, 2048, 10.31, 24.05, 0.48499355
evostar-zig-gen-bool, 2048, 10.40, 25.82, 0.47704368
evostar-zig-gen-bool, 2048, 10.25, 22.68, 0.47804805
evostar-zig-gen-bool, 2048, 10.85, 25.01, 0.47675306
evostar-zig-gen-bool, 2048, 10.74, 25.15, 0.47326926
evostar-zig-gen-bool, 2048, 10.63, 24.86, 0.48990140
evostar-zig-gen-bool, 2048, 15.93, 30.30, 0.48418546
evostar-zig-gen-bool, 2048, 18.99, 29.82, 0.48851612
evostar-zig-gen-bool, 2048, 18.38, 29.35, 0.48376793
