Platform,size,GPU,PKG,seconds
evostar-zig-ops-nx-noalloc-inline, 512, 5.27, 11.68, 0.21287271
evostar-zig-ops-nx-noalloc-inline, 512, 5.10, 12.07, 0.20943599
evostar-zig-ops-nx-noalloc-inline, 512, 5.08, 11.83, 0.21315239
evostar-zig-ops-nx-noalloc-inline, 512, 5.11, 12.05, 0.21208989
evostar-zig-ops-nx-noalloc-inline, 512, 5.27, 13.02, 0.21232724
evostar-zig-ops-nx-noalloc-inline, 512, 5.19, 12.34, 0.20979633
evostar-zig-ops-nx-noalloc-inline, 512, 5.07, 12.21, 0.21188309
evostar-zig-ops-nx-noalloc-inline, 512, 5.11, 12.16, 0.21081479
evostar-zig-ops-nx-noalloc-inline, 512, 5.10, 12.81, 0.21028705
evostar-zig-ops-nx-noalloc-inline, 512, 5.13, 12.26, 0.21262479
evostar-zig-ops-nx-noalloc-inline, 512, 5.07, 12.02, 0.20923282
evostar-zig-ops-nx-noalloc-inline, 512, 5.08, 12.59, 0.21027194
evostar-zig-ops-nx-noalloc-inline, 512, 5.07, 12.21, 0.21118342
evostar-zig-ops-nx-noalloc-inline, 512, 5.04, 11.55, 0.21389720
evostar-zig-ops-nx-noalloc-inline, 512, 5.06, 11.48, 0.20844033
evostar-zig-ops-nx-noalloc-inline, 1024, 7.09, 16.97, 0.31045023
evostar-zig-ops-nx-noalloc-inline, 1024, 7.07, 16.47, 0.31866472
evostar-zig-ops-nx-noalloc-inline, 1024, 7.07, 16.61, 0.32109031
evostar-zig-ops-nx-noalloc-inline, 1024, 7.16, 16.09, 0.31970173
evostar-zig-ops-nx-noalloc-inline, 1024, 7.07, 15.80, 0.32078946
evostar-zig-ops-nx-noalloc-inline, 1024, 7.18, 17.47, 0.31509023
evostar-zig-ops-nx-noalloc-inline, 1024, 7.19, 17.12, 0.31472690
evostar-zig-ops-nx-noalloc-inline, 1024, 7.25, 17.44, 0.31303405
evostar-zig-ops-nx-noalloc-inline, 1024, 7.13, 17.26, 0.31644854
evostar-zig-ops-nx-noalloc-inline, 1024, 7.17, 17.33, 0.31604350
evostar-zig-ops-nx-noalloc-inline, 1024, 7.16, 16.70, 0.31113534
evostar-zig-ops-nx-noalloc-inline, 1024, 7.13, 16.59, 0.31491663
evostar-zig-ops-nx-noalloc-inline, 1024, 7.08, 16.40, 0.31365700
evostar-zig-ops-nx-noalloc-inline, 1024, 7.03, 16.11, 0.31238435
evostar-zig-ops-nx-noalloc-inline, 1024, 7.08, 16.32, 0.31416472
evostar-zig-ops-nx-noalloc-inline, 2048, 11.18, 27.39, 0.53497794
evostar-zig-ops-nx-noalloc-inline, 2048, 11.24, 27.18, 0.52931524
evostar-zig-ops-nx-noalloc-inline, 2048, 11.28, 30.15, 0.53050502
evostar-zig-ops-nx-noalloc-inline, 2048, 11.44, 27.09, 0.52645530
evostar-zig-ops-nx-noalloc-inline, 2048, 11.38, 27.87, 0.53014145
evostar-zig-ops-nx-noalloc-inline, 2048, 11.29, 27.32, 0.53569346
evostar-zig-ops-nx-noalloc-inline, 2048, 11.33, 28.34, 0.52546640
evostar-zig-ops-nx-noalloc-inline, 2048, 11.29, 26.03, 0.53347214
evostar-zig-ops-nx-noalloc-inline, 2048, 12.13, 28.06, 0.52747780
evostar-zig-ops-nx-noalloc-inline, 2048, 11.68, 27.52, 0.52813241
evostar-zig-ops-nx-noalloc-inline, 2048, 11.90, 28.33, 0.53230117
evostar-zig-ops-nx-noalloc-inline, 2048, 12.99, 28.44, 0.54068395
evostar-zig-ops-nx-noalloc-inline, 2048, 12.51, 27.78, 0.53769062
evostar-zig-ops-nx-noalloc-inline, 2048, 12.32, 27.47, 0.53474932
evostar-zig-ops-nx-noalloc-inline, 2048, 11.48, 27.19, 0.53478076
