VM,size,GPU,PKG,seconds
zig, 512, 10.95, 16.17, 0.29065256
zig, 512, 8.45, 16.33, 0.28970973
zig, 512, 6.97, 16.51, 0.29968574
zig, 512, 7.99, 20.09, 0.30605239
zig, 512, 7.46, 19.44, 0.30175194
zig, 512, 6.05, 15.86, 0.30009948
zig, 512, 7.07, 19.60, 0.31292400
zig, 512, 7.66, 20.03, 0.31550774
zig, 512, 7.46, 19.37, 0.31438629
zig, 512, 7.09, 19.67, 0.30235633
zig, 512, 7.85, 20.26, 0.30426475
zig, 512, 6.29, 16.30, 0.29715557
zig, 512, 7.37, 19.38, 0.31288134
zig, 512, 7.83, 20.20, 0.32477445
zig, 512, 6.49, 16.23, 0.30017379
zig, 1024, 11.04, 30.64, 0.50709714
zig, 1024, 11.04, 30.80, 0.50803530
zig, 1024, 11.29, 30.96, 0.50971944
zig, 1024, 11.75, 31.62, 0.50794115
zig, 1024, 10.39, 27.72, 0.49728161
zig, 1024, 9.99, 27.13, 0.49226145
zig, 1024, 11.45, 30.74, 0.51118383
zig, 1024, 11.81, 31.50, 0.50159072
zig, 1024, 10.29, 27.72, 0.50070760
zig, 1024, 11.37, 30.10, 0.50597039
zig, 1024, 10.45, 27.07, 0.49331626
zig, 1024, 11.29, 32.23, 0.50921596
zig, 1024, 10.79, 28.71, 0.49999229
zig, 1024, 11.55, 30.63, 0.50896131
zig, 1024, 11.38, 30.88, 0.50512739
zig, 2048, 19.50, 53.87, 0.90946259
zig, 2048, 19.83, 54.42, 0.91319580
zig, 2048, 18.32, 49.12, 0.89465029
zig, 2048, 19.62, 52.12, 0.90693067
zig, 2048, 18.13, 50.10, 0.90040649
zig, 2048, 18.20, 50.96, 0.88634908
zig, 2048, 19.04, 52.26, 0.89879352
zig, 2048, 20.07, 54.19, 0.90287665
zig, 2048, 19.67, 53.11, 0.90816838
zig, 2048, 18.75, 51.54, 0.88711152
zig, 2048, 18.17, 48.23, 0.88920899
zig, 2048, 18.28, 50.90, 0.88506076
zig, 2048, 19.03, 49.37, 0.89283840
zig, 2048, 18.17, 48.00, 0.88944890
zig, 2048, 19.95, 52.44, 0.90754990
