Platform,size,GPU,PKG,seconds
lion-bun, 512, 75.57, 230.37, 3.41659749
lion-bun, 512, 75.43, 238.66, 3.42984831
lion-bun, 512, 75.51, 225.83, 3.43400927
lion-bun, 512, 75.75, 228.98, 3.43555281
lion-bun, 512, 99.72, 239.86, 3.45912082
lion-bun, 512, 84.92, 236.99, 3.51840111
lion-bun, 512, 71.55, 228.08, 3.42010512
lion-bun, 512, 88.82, 223.99, 3.39614144
lion-bun, 512, 81.31, 226.20, 3.45829570
lion-bun, 512, 72.22, 226.67, 3.52438894
lion-bun, 512, 71.31, 230.79, 3.43053798
lion-bun, 512, 77.44, 249.23, 3.57209722
lion-bun, 512, 77.14, 245.32, 3.51941052
lion-bun, 512, 72.43, 228.44, 3.45309472
lion-bun, 512, 102.98, 234.52, 3.45107318
lion-bun, 1024, 104.47, 329.76, 4.69364756
lion-bun, 1024, 104.54, 330.97, 4.67059190
lion-bun, 1024, 109.91, 351.29, 4.81791574
lion-bun, 1024, 109.26, 346.35, 4.78667628
lion-bun, 1024, 104.21, 335.22, 4.67737162
lion-bun, 1024, 107.76, 343.68, 4.82120564
lion-bun, 1024, 106.54, 342.11, 4.78581151
lion-bun, 1024, 106.44, 347.37, 4.76856094
lion-bun, 1024, 105.41, 326.44, 4.66951456
lion-bun, 1024, 106.07, 343.27, 4.79085060
lion-bun, 1024, 97.44, 309.95, 4.63511924
lion-bun, 1024, 96.52, 302.05, 4.65948846
lion-bun, 1024, 97.59, 310.46, 4.72626551
lion-bun, 1024, 98.50, 313.29, 4.78808843
lion-bun, 1024, 95.34, 303.52, 4.65247153
lion-bun, 2048, 151.04, 517.72, 7.31157207
lion-bun, 2048, 146.29, 476.90, 7.12268209
lion-bun, 2048, 146.70, 450.72, 7.13337783
lion-bun, 2048, 146.16, 446.00, 7.11781513
lion-bun, 2048, 150.14, 493.04, 7.24467386
lion-bun, 2048, 147.62, 441.43, 7.17907077
lion-bun, 2048, 148.41, 453.40, 7.21812262
lion-bun, 2048, 146.19, 458.15, 7.13087846
lion-bun, 2048, 148.26, 446.54, 7.22685617
lion-bun, 2048, 146.96, 462.11, 7.19881144
lion-bun, 2048, 148.65, 453.42, 7.22368345
lion-bun, 2048, 148.81, 457.04, 7.26533237
lion-bun, 2048, 149.05, 461.26, 7.29591417
lion-bun, 2048, 145.54, 443.27, 7.07554339
lion-bun, 2048, 151.62, 469.16, 7.37739618
