Platform,size,GPU,PKG,seconds
lion-zig-ops, 512, 37.74, 100.66, 1.84013997
lion-zig-ops, 512, 37.22, 105.93, 1.84449634
lion-zig-ops, 512, 37.51, 99.13, 1.82079706
lion-zig-ops, 512, 37.87, 93.69, 1.84200460
lion-zig-ops, 512, 42.15, 108.62, 1.85271928
lion-zig-ops, 512, 67.90, 114.37, 1.83230214
lion-zig-ops, 512, 41.36, 109.52, 1.86656605
lion-zig-ops, 512, 38.14, 100.35, 1.81850382
lion-zig-ops, 512, 40.33, 109.93, 1.85082227
lion-zig-ops, 512, 41.30, 123.42, 1.87344002
lion-zig-ops, 512, 40.90, 109.28, 1.86245966
lion-zig-ops, 512, 41.19, 117.90, 1.89705638
lion-zig-ops, 512, 39.84, 116.63, 1.84788487
lion-zig-ops, 512, 38.44, 97.64, 1.84068615
lion-zig-ops, 512, 39.13, 104.37, 1.86902432
lion-zig-ops, 1024, 73.42, 216.20, 3.42937810
lion-zig-ops, 1024, 70.54, 183.29, 3.42144558
lion-zig-ops, 1024, 69.31, 190.45, 3.39075749
lion-zig-ops, 1024, 69.84, 185.22, 3.42337426
lion-zig-ops, 1024, 69.10, 172.84, 3.40152061
lion-zig-ops, 1024, 68.82, 177.27, 3.40989309
lion-zig-ops, 1024, 71.28, 183.03, 3.42890767
lion-zig-ops, 1024, 67.81, 175.50, 3.34967533
lion-zig-ops, 1024, 69.58, 179.05, 3.42003191
lion-zig-ops, 1024, 73.33, 195.01, 3.43195531
lion-zig-ops, 1024, 73.81, 219.07, 3.42931880
lion-zig-ops, 1024, 72.34, 210.49, 3.42524132
lion-zig-ops, 1024, 71.16, 208.43, 3.38443561
lion-zig-ops, 1024, 71.06, 206.81, 3.38008085
lion-zig-ops, 1024, 69.74, 194.32, 3.40012238
lion-zig-ops, 2048, 132.19, 359.56, 6.45545727
lion-zig-ops, 2048, 134.78, 358.11, 6.57598495
lion-zig-ops, 2048, 133.69, 373.71, 6.50621581
lion-zig-ops, 2048, 138.60, 389.21, 6.49947002
lion-zig-ops, 2048, 137.21, 418.05, 6.59064965
lion-zig-ops, 2048, 139.74, 394.31, 6.66241420
lion-zig-ops, 2048, 136.18, 402.82, 6.53111877
lion-zig-ops, 2048, 134.53, 418.08, 6.50988359
lion-zig-ops, 2048, 136.55, 392.70, 6.60550574
lion-zig-ops, 2048, 134.09, 383.87, 6.55719647
lion-zig-ops, 2048, 136.27, 381.65, 6.59868050
lion-zig-ops, 2048, 136.78, 416.43, 6.59825330
lion-zig-ops, 2048, 135.71, 408.38, 6.57788229
lion-zig-ops, 2048, 137.15, 418.68, 6.60328600
lion-zig-ops, 2048, 132.71, 356.92, 6.45716672
