Tool,VM,size,GPU,PKG,seconds
pinpoint, node, 1024, 28.28, 218.91, 11.23377326
pinpoint, node, 1024, 5.18000000000001, 223.87, 11.19506048
pinpoint, node, 1024, 3.65000000000001, 217.37, 11.27236724
pinpoint, node, 1024, 29.36, 237.05, 11.15716792
pinpoint, node, 1024, 10.04, 233.93, 10.99026710
pinpoint, node, 1024, 19.67, 236.98, 11.09523798
pinpoint, node, 1024, 42.32, 254.43, 11.12498656
pinpoint, node, 1024, 2.56, 263.76, 11.22979952
pinpoint, node, 1024, 0.930000000000007, 265.05, 11.20657578
pinpoint, node, 1024, 0, 217.67, 11.05416865
pinpoint, node, 1024, 0.969999999999999, 249.12, 11.11839041
pinpoint, node, 1024, 0, 201.83, 10.78776293
pinpoint, node, 1024, 0, 233.38, 11.04847654
pinpoint, node, 1024, 7.05000000000001, 256.56, 11.40626260
pinpoint, node, 1024, 5.97, 269.83, 11.34494290
pinpoint, node, 2048, 0, 324.79, 17.33670103
pinpoint, node, 2048, 0, 342.28, 17.43542372
pinpoint, node, 2048, 0.170000000000016, 291.26, 17.55548608
pinpoint, node, 2048, 0, 315.8, 17.45350864
pinpoint, node, 2048, 7.13999999999999, 339.04, 17.78547308
pinpoint, node, 2048, 2.01999999999998, 335.87, 17.61459084
pinpoint, node, 2048, 0, 297.41, 17.28663315
pinpoint, node, 2048, 0, 326.32, 17.39524784
pinpoint, node, 2048, 0, 268.71, 17.43084544
pinpoint, node, 2048, 41.96, 321.69, 17.42398311
pinpoint, node, 2048, 5.50999999999999, 341.94, 17.36416319
pinpoint, node, 2048, 13.3, 358.92, 17.68721874
pinpoint, node, 2048, 5.57999999999998, 316.89, 17.35175001
pinpoint, node, 2048, 13.17, 327.23, 17.62024695
pinpoint, node, 2048, 2.42000000000002, 341.63, 17.44085984
pinpoint, node, 4096, 0, 911.24, 34.68076803
pinpoint, node, 4096, 0, 797.9, 35.90929587
pinpoint, node, 4096, 0, 892.9, 34.70576872
pinpoint, node, 4096, 67.89, 1155.73, 36.98016417
pinpoint, node, 4096, 4.64999999999998, 846.91, 36.54147252
pinpoint, node, 4096, 43.51, 990.43, 36.13956751
pinpoint, node, 4096, 176.29, 1167.04, 40.91489192
pinpoint, node, 4096, 10.66, 905.23, 36.62652689
pinpoint, node, 4096, 42.74, 992.7, 38.50142158
pinpoint, node, 4096, 28.47, 1017.45, 37.11488936
pinpoint, node, 4096, 0, 900.98, 35.42011025
pinpoint, node, 4096, 0, 835.3, 34.24787174
pinpoint, node, 4096, 0, 881.62, 35.00968187
pinpoint, node, 4096, 85.58, 1118.88, 40.21908652
pinpoint, node, 4096, 41.58, 1072.88, 37.11746421
pinpoint, bun, 1024, 0, 19.53, 4.72142727
pinpoint, bun, 1024, 0, 22.01, 4.73454567
pinpoint, bun, 1024, 0, 30.41, 4.82682163
pinpoint, bun, 1024, 0, 22.2, 4.71712681
pinpoint, bun, 1024, 0, 17.75, 4.70659858
pinpoint, bun, 1024, 0, 20.04, 4.74390537
pinpoint, bun, 1024, 0, 23.05, 4.76319151
pinpoint, bun, 1024, 0, 30.75, 4.83284636
pinpoint, bun, 1024, 0, 23.69, 4.73388773
pinpoint, bun, 1024, 0, 30.91, 4.83053518
pinpoint, bun, 1024, 0, 25.53, 4.84688699
pinpoint, bun, 1024, 0, 27.92, 4.90521126
pinpoint, bun, 1024, 0, 30.46, 4.82570076
pinpoint, bun, 1024, 0, 26.65, 4.73007400
pinpoint, bun, 1024, 2.50999999999999, 64.76, 4.87261981
pinpoint, bun, 2048, 0, 100.4, 7.38715018
pinpoint, bun, 2048, 0, 115.99, 7.54652004
pinpoint, bun, 2048, 0, 120.93, 7.58721057
pinpoint, bun, 2048, 0, 81.1900000000001, 7.40421749
pinpoint, bun, 2048, 0, 67.9299999999999, 7.27101269
pinpoint, bun, 2048, 0, 69.1900000000001, 7.32818108
pinpoint, bun, 2048, 0, 49.14, 7.22704211
pinpoint, bun, 2048, 0, 95.7, 7.32426232
pinpoint, bun, 2048, 3.28, 139.98, 7.51918596
pinpoint, bun, 2048, 3.23000000000002, 114.47, 7.52255551
pinpoint, bun, 2048, 1.27000000000001, 107.22, 7.44421699
pinpoint, bun, 2048, 0, 95.6900000000001, 7.40296341
pinpoint, bun, 2048, 0, 75.03, 7.36203165
pinpoint, bun, 2048, 4.66, 112.13, 7.53748136
pinpoint, bun, 2048, 0, 98.78, 7.37082584
pinpoint, bun, 4096, 23.38, 232.27, 12.88334605
pinpoint, bun, 4096, 39.26, 210.23, 12.94305762
pinpoint, bun, 4096, 26.45, 190.71, 12.85254349
pinpoint, bun, 4096, 18.94, 189.85, 12.89329795
pinpoint, bun, 4096, 0, 146.52, 12.46919017
pinpoint, bun, 4096, 16.29, 174.63, 12.73408179
pinpoint, bun, 4096, 22.28, 216.71, 12.84451562
pinpoint, bun, 4096, 5.44, 235.11, 12.76623596
