Tool,VM,size,GPU,PKG,seconds
pinpoint, node, 1024, 2.71000000000001, 68.5, 2.90018598
pinpoint, node, 1024, 0, 68.36, 2.71470103
pinpoint, node, 1024, 0, 58.2, 2.69494156
pinpoint, node, 1024, 0, 55.53, 2.67219468
pinpoint, node, 1024, 0, 56.86, 2.68976027
pinpoint, node, 1024, 0, 49.67, 2.65038106
pinpoint, node, 1024, 0, 51, 2.73820468
pinpoint, node, 1024, 0, 50.51, 2.65291815
pinpoint, node, 1024, 0, 53.98, 2.68662663
pinpoint, node, 1024, 0, 56.2, 2.69140745
pinpoint, node, 1024, 0, 52.73, 2.63762156
pinpoint, node, 1024, 0, 56.34, 2.67605771
pinpoint, node, 1024, 4.72, 62.87, 2.68514553
pinpoint, node, 1024, 21.18, 75.84, 2.74315813
pinpoint, node, 1024, 0.210000000000001, 70.16, 2.66922119
pinpoint, node, 2048, 0, 69.65, 10.43132556
pinpoint, node, 2048, 0, 49.1799999999999, 10.33491317
pinpoint, node, 2048, 0, 62.53, 10.31377691
pinpoint, node, 2048, 0, 40.47, 10.31497906
pinpoint, node, 2048, 0, 119.99, 10.50444534
pinpoint, node, 2048, 0, 130.74, 10.67305132
pinpoint, node, 2048, 0, 83.9299999999999, 10.36758501
pinpoint, node, 2048, 0, 127.97, 10.51732712
pinpoint, node, 2048, 0, 176.25, 10.78586896
pinpoint, node, 2048, 0, 111.24, 10.32925014
pinpoint, node, 2048, 0, 80.28, 10.30440003
pinpoint, node, 2048, 0, 76.73, 10.35402924
pinpoint, node, 2048, 0, 77.35, 10.30975452
pinpoint, node, 2048, 0, 35.95, 10.23795146
pinpoint, node, 2048, 0, 36.62, 10.24326854
pinpoint, node, 4096, 12.52, 751.21, 41.03875353
pinpoint, node, 4096, 0, 638.24, 40.67198711
pinpoint, node, 4096, 0, 578.69, 40.37879319
pinpoint, node, 4096, 21.3200000000001, 725.62, 40.87655717
pinpoint, node, 4096, 21.46, 793.96, 41.12670751
pinpoint, node, 4096, 10.33, 727.74, 40.57629248
pinpoint, node, 4096, 10.58, 724.3, 40.76921530
pinpoint, node, 4096, 0, 422.48, 39.99733591
pinpoint, node, 4096, 10.9, 772.27, 40.94061927
pinpoint, node, 4096, 40.1600000000001, 564.39, 40.32706406
pinpoint, node, 4096, 0, 330.01, 39.59567463
pinpoint, node, 4096, 0, 521.36, 40.36886063
pinpoint, node, 4096, 0, 339.32, 39.23835969
pinpoint, node, 4096, 0, 586.66, 40.40214536
